# Constructed from biom file
feature-id	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8
fea5c05e9b8245c5ca46f6673f59e0bf	17.0	11.0	16.0	22.0	11.0	0.0	6.0	0.0
ae881162d813e498f40bf33b8e42d54a	12.0	0.0	17.0	12.0	0.0	11.0	11.0	18.0
32875774cffdc8c820f91d8e86f9a0e6	0.0	14.0	0.0	16.0	0.0	51.0	0.0	0.0
868a4fe285b85fa1b8eb40071d5397be	0.0	0.0	30.0	0.0	0.0	0.0	0.0	34.0
201b6484b6abe3d4c587464be6cbd574	18.0	22.0	0.0	0.0	0.0	14.0	25.0	0.0
67f9c74eeea5a4609bd1d2fab66ad3cc	0.0	0.0	44.0	0.0	20.0	15.0	0.0	0.0
0c4b17f88dae47697d3bceb3663f47ce	0.0	63.0	0.0	0.0	15.0	0.0	0.0	0.0
fc1f49989e78fa71bc6404ff2a148576	0.0	34.0	0.0	12.0	18.0	0.0	14.0	0.0
919764896275058362e55f0849d2b38b	0.0	34.0	0.0	0.0	0.0	0.0	0.0	42.0
4b13979d719e78a50cb0eac34d72dec1	0.0	0.0	0.0	20.0	0.0	35.0	21.0	0.0
b8b19c4f0719a5d5b965a0f50f05827c	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0
9e1c6b703a4312cce306c7757688a351	0.0	0.0	21.0	31.0	21.0	0.0	0.0	0.0
a0b0961c7ba318abff3e5a93f09f495e	0.0	0.0	27.0	28.0	18.0	0.0	0.0	0.0
24dfe6a7325e4f2be7dbd522ef613e42	0.0	26.0	0.0	0.0	0.0	0.0	0.0	46.0
55937e5781c91185e27a91216008e4ca	23.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0
43a9c44adeac51fd3ab95081da56d02d	0.0	0.0	0.0	18.0	13.0	26.0	14.0	0.0
823698689031b0b9c2c5152f92ffc70f	13.0	0.0	37.0	19.0	0.0	0.0	0.0	0.0
3b65e1db6742cc44493248fff266f564	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0
b00d44992702bd3743d7f353638d42f9	0.0	35.0	0.0	0.0	0.0	0.0	0.0	33.0
c04b03fdea7f81c8c52fc540c50a24a4	15.0	10.0	9.0	0.0	0.0	24.0	0.0	0.0
3add7df323955b22d1cea664ef38165d	11.0	0.0	0.0	0.0	0.0	29.0	14.0	0.0
a1b971c01ce0b220275c218adbe717c1	0.0	18.0	0.0	0.0	4.0	6.0	9.0	17.0
66a605fcdaa020dbdd6136f241ea79d9	26.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0
c57b70d65a63c4bf9f12c179c2416839	36.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0
5df503c1ddf8f3f4ac9e49e983e3d7fd	0.0	27.0	11.0	0.0	14.0	0.0	0.0	0.0
