taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
43a9c44adeac51fd3ab95081da56d02d,0,FALSE,FALSE,FALSE,FALSE
823698689031b0b9c2c5152f92ffc70f,0,FALSE,FALSE,FALSE,FALSE
3b65e1db6742cc44493248fff266f564,0,FALSE,FALSE,FALSE,FALSE
b00d44992702bd3743d7f353638d42f9,0,FALSE,FALSE,FALSE,FALSE
c04b03fdea7f81c8c52fc540c50a24a4,0,FALSE,FALSE,FALSE,FALSE
3add7df323955b22d1cea664ef38165d,0,FALSE,FALSE,FALSE,FALSE
a1b971c01ce0b220275c218adbe717c1,0,FALSE,FALSE,FALSE,FALSE
66a605fcdaa020dbdd6136f241ea79d9,0,FALSE,FALSE,FALSE,FALSE
c57b70d65a63c4bf9f12c179c2416839,0,FALSE,FALSE,FALSE,FALSE
5df503c1ddf8f3f4ac9e49e983e3d7fd,0,FALSE,FALSE,FALSE,FALSE
ebd1dcd162acede67bb633c42c7b2ac2,0,FALSE,FALSE,FALSE,FALSE
80b20e907aa4fcf2309796bc303d151d,0,FALSE,FALSE,FALSE,FALSE
7fee9350277038eef98dee70b4190563,0,FALSE,FALSE,FALSE,FALSE
34e40677eda6fb724e9323b0835d5ab0,0,FALSE,FALSE,FALSE,FALSE
48eda83fda558aea8fdd32b9c8dfff98,0,FALSE,FALSE,FALSE,FALSE
0f55566622d8244073432b2e67b24baa,0,FALSE,FALSE,FALSE,FALSE
956d0a6f5a8e1d2fbb39df909cc14894,0,FALSE,FALSE,FALSE,FALSE
816b94bcd935ca38afe71fd1e3c5356c,0,FALSE,FALSE,FALSE,FALSE
ee7ce85e38500b28d9d79b63c7fbf9a6,0,FALSE,FALSE,FALSE,FALSE
8659c05e82a2d1399cbc3fd26ab938e4,0,FALSE,FALSE,FALSE,FALSE
3677e15d86603bf0a6bb50f8b010afe7,0,FALSE,FALSE,FALSE,FALSE
54b4964000ad1631e547c46a828ed1a0,0,FALSE,FALSE,FALSE,FALSE
1893b0ad352ee7db0f565bc4594e6dc6,0,FALSE,FALSE,FALSE,FALSE
2b148d88c49e316f85b6e7863089a886,0,FALSE,FALSE,FALSE,FALSE
cbb7ea319a7633cf0917c6e5cde0e923,0,FALSE,FALSE,FALSE,FALSE
edacf632dcadc21c328669befafe2af6,0,FALSE,FALSE,FALSE,FALSE
e2c355360209f0b71b70b85ed0f9532d,0,FALSE,FALSE,FALSE,FALSE
3b795f0122b28b0e6a07bec73894acee,0,FALSE,FALSE,FALSE,FALSE
e2f0caba18b002ca9762ed56167c6188,0,FALSE,FALSE,FALSE,FALSE
02ef9a59d6da8b642271166d3ffd1b52,0,FALSE,FALSE,FALSE,FALSE
c7ec57695a6d83b461eba523752755ec,0,FALSE,FALSE,FALSE,FALSE
74c2326ccd0bc2bd9e0f23f15b79ea16,0,FALSE,FALSE,FALSE,FALSE
8f0a7d866b4e5ebf1e34d0a44eb950a4,0,FALSE,FALSE,FALSE,FALSE
d8db52dac1023a8fa0e56e92670d7ac1,0,FALSE,FALSE,FALSE,FALSE
51757b1a0a985640893725af5d87d350,0,FALSE,FALSE,FALSE,FALSE
d51cd90e95b57acb614698dc580759fb,0,FALSE,FALSE,FALSE,FALSE
b0ca0d2568c23c26c6704017eae471e1,0,FALSE,FALSE,FALSE,FALSE
1a8d25f7529d783a219ef689701dd4e2,0,FALSE,FALSE,FALSE,FALSE
491ef1635067f62c395bdffd58966092,0,FALSE,FALSE,FALSE,FALSE
e80d9134b601511a2702b54268b57249,0,FALSE,FALSE,FALSE,FALSE
3111520c8424a2a5bdd46558ae7650e8,0,FALSE,FALSE,FALSE,FALSE
02878fe3ccc81d4c884ca5574178d6a0,0,FALSE,FALSE,FALSE,FALSE
f4eefbd4edf2a372131825289fffcca6,0,FALSE,FALSE,FALSE,FALSE
aee707afe3847427a6d3d34e31437923,0,FALSE,FALSE,FALSE,FALSE
33176e81f3e7ef2b9de1b783ff1ca33c,0,FALSE,FALSE,FALSE,FALSE
f66effc279917d65747b7c3ef8d62432,0,FALSE,FALSE,FALSE,FALSE
160029903cd9c779390f4719179aeea2,0,FALSE,FALSE,FALSE,FALSE
0741ae033054073fece98b9948ec4387,0,FALSE,FALSE,FALSE,FALSE
fbf110ef5de76f86121c8504a0cb786e,0,FALSE,FALSE,FALSE,FALSE
a841dd7e2f38b26bb7bb37179b4141d5,0,FALSE,FALSE,FALSE,FALSE
73291cac0e802b6a1fb25ae7079390ef,0,FALSE,FALSE,FALSE,FALSE
63145f49e7efc26729094a53d97c0cd1,0,FALSE,FALSE,FALSE,FALSE
1ea96d595539133266a3dbd49daac1e4,0,FALSE,FALSE,FALSE,FALSE
f95cdb71258ef6cc222c673ea4546caf,0,FALSE,FALSE,FALSE,FALSE
1e1e0cca52fab68a8c7ba5256aeadd6d,0,FALSE,FALSE,FALSE,FALSE
1395953fab837ed426f9b2ba24da41b1,0,FALSE,FALSE,FALSE,FALSE
b2d056fa113334bd2797397b162c6ac9,0,FALSE,FALSE,FALSE,FALSE
9c6b4f83513e63a49ce33a8aeb1813ad,0,FALSE,FALSE,FALSE,FALSE
7e4d5b19d3213719048fe55dfad0da3a,0,FALSE,FALSE,FALSE,FALSE
8c001c89f020a1b78b26ee21d1d56746,0,FALSE,FALSE,FALSE,FALSE
6bd57e46e038faafe4bb747e1d494df7,0,FALSE,FALSE,FALSE,FALSE
1a2d9f4af510ce624fa0337c3ea9fedc,0,FALSE,FALSE,FALSE,FALSE
f1d63da515a0c96eb9f7af5de75655bb,0,FALSE,FALSE,FALSE,FALSE
167baae5fe04a754df7eb073c07adaa7,0,FALSE,FALSE,FALSE,FALSE
124e839582c0a3329101182cb28619a8,0,FALSE,FALSE,FALSE,FALSE
51b573b10d63a2cbe455deeef5bae002,0,FALSE,FALSE,FALSE,FALSE
6b4a0a64da52980e7a1b1a770978bb88,0,FALSE,FALSE,FALSE,FALSE
b89da5ee2f75672a2656789aea91071d,0,FALSE,FALSE,FALSE,FALSE
48a6cea7eaf29dcb52dc2985933f4249,0,FALSE,FALSE,FALSE,FALSE
4e34087bb8399deb145896c92e1b58a5,0,FALSE,FALSE,FALSE,FALSE
5beb76b0d6631d10fc820c2d128d4cb6,0,FALSE,FALSE,FALSE,FALSE
ba3ff6e27b67596844f11db93e44c496,0,FALSE,FALSE,FALSE,FALSE
af12fc27ee17864717830cafd06453cd,0,FALSE,FALSE,FALSE,FALSE
1076b2b7de5233cc917c9425aa2ea200,0,FALSE,FALSE,FALSE,FALSE
a80183c045cf890899121db3bbcbd39d,0,FALSE,FALSE,FALSE,FALSE
6bf95d9914dc404e98ebff522496533d,0,FALSE,FALSE,FALSE,FALSE
e7709791d7ef6b47747de9fb43880d14,0,FALSE,FALSE,FALSE,FALSE
f908d554fc6eeb9fef7a7028fa791475,0,FALSE,FALSE,FALSE,FALSE
e3d37109be4a17d8437f6fcb6072982d,0,FALSE,FALSE,FALSE,FALSE
09fc3d8a98c2ca72c69b63a51b5b564e,0,FALSE,FALSE,FALSE,FALSE
3a31937521e389cbdf89ca01039e5ec3,0,FALSE,FALSE,FALSE,FALSE
30d793622ebd90e7687dd3827701d46e,0,FALSE,FALSE,FALSE,FALSE
fe72a66c85df0ab333e3a37d0332df67,0,FALSE,FALSE,FALSE,FALSE
bc15061b61cf6b5002c58284591f97d4,0,FALSE,FALSE,FALSE,FALSE
dbae1b46b67ad6769ea63d33ed3d44bf,0,FALSE,FALSE,FALSE,FALSE
6d7d9658988c6e2b5e45ea087f1b9155,0,FALSE,FALSE,FALSE,FALSE
502b6544978890cda2ece2d14bfdba01,0,FALSE,FALSE,FALSE,FALSE
